"DE","n"
"GENETIC DIVERSITY",5
"CHENOPODIUM QUINOA",4
"MICROSATELLITES",2
"NA",2
"11S",1
"AMARANTHACEAE",1
"ANDEAN CROPS",1
"BREEDING",1
"CAÑAHUAF",1
"CHENOPODIUM",1
"CHENOPODIUM PALLIDICAULE",1
"CLEAVED AMPLIFIED POLYMORPHIC SEQUENCE (CAPS) MARKER",1
"COASTAL QUINOA",1
"DOWNY MILDEW RESISTANCE",1
"EST-SSR",1
"EXPRESSED SEQUENCE TAGS (ESTS)",1
"GENETIC MAP",1
"GENETIC VARIATION",1
"GLOBULINS",1
"HETEROZYGOSITY",1
"HI-C",1
"HIGHLAND QUINOA",1
"INDELS",1
"LUPINUS LUTEUS",1
"METABOLIC VARIABLES",1
"MICROSATELLITE",1
"MICROSATELLITE MARKERS",1
"MICROSYNTENY",1
"MORPHOLOGICAL VARIABLES",1
"MULTIPLEX FLUORESCENT SSR",1
"NACL",1
"NOR",1
"ORPHAN CROP",1
"OXALIS TUBEROSA",1
"PERONOSPORA VARIABILIS",1
"POPULATION STRUCTURE",1
"PROXIMITY-GUIDED ASSEMBLY",1
"QUINOA",1
"SEED PROTEINS",1
"SEXUAL REPRODUCTION",1
"SINGLE NUCLEOTIDE POLYMORPHISMS (SNPS)",1
"SSRS",1
"TRADITIONAL CROP MANAGEMENT",1
