"Rank","Country","Country_records","Affiliation","Affiliation_records","Author","Author_records","Records_fractionalized","Source","Source_records"
1,"PERU",57,"BRIGHAM YOUNG UNIVERSITY",12,"JELLEN EN",10,1.3,"GENETIC RESOURCES AND CROP EVOLUTION",11
2,"USA",51,"UNIVERSITY OF AGRICULTURE",12,"MAUGHAN PJ",9,1.2,"AGRONOMY",8
3,"CHILE",29,"UNIVERSIDAD PEDAGÓGICA Y TECNOLÓGICA DE COLOMBIA",10,"BHARGAVA A",5,1.53,"EUPHYTICA",8
4,"CHINA",29,"UNIVERSIDAD DE BUENOS AIRES",6,"BONIFACIO A",5,0.55,"FRONTIERS IN PLANT SCIENCE",7
5,"COLOMBIA",29,"UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS",6,"FAIRBANKS DJ",5,0.62,"PLANTS",7
6,"INDIA",25,"HEIDELBERG UNIVERSITY",5,"STEVENS MR",5,0.55,"ACTA HORTICULTURAE",4
7,"ARGENTINA",24,"INSTITUTO NACIONAL DE INNOVACIÓN AGRARIA (INIA)",4,"BERTERO HD",4,1.09,"CROP SCIENCE",4
8,"GERMANY",23,"INTERNATIONAL POTATO CENTER",4,"BLAIR MW",4,1.53,"FIELD CROPS RESEARCH",4
9,"PAKISTAN",23,"JÜLICH",4,"COLEMAN CE",4,0.42,"AGRICULTURE (SWITZERLAND)",2
10,"MEXICO",21,"PALACKÝ UNIVERSITY",4,"FUENTES F",4,0.89,"AGROCIENCIA",2
