&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EGE83F5F","journalArticle","2023","Nepal, N.; Condori-Apfata, J.A.; Gaire, R.; Anco, M.E.M.; Scofield, S.; Zhang, C.; Mohammadi, M.","Phenotypic and genotypic resources for the USDA quinoa (Chenopodium quinoa) genebank accessions","Crop Science","","0011183X (ISSN)","10.1002/csc2.21037","https://www.scopus.com/pages/publications/85163276699?origin=resultslist","Quinoa (Chenopodium quinoa) is a nutritious grain, with balanced composition of amino acids, and a facultative halophyte. Under greenhouse conditions, we assessed 148 quinoa accessions from the USDA genebank for grain weight, phenological, and morphological characteristics. For all traits, the analysis of variance revealed a significant difference among accessions. The accessions matured as late as 146 days after planting and produced grain weight up to 19.6 g/plant. Days to maturity showed negative correlation with grain weight per plant, whereas the number of branches was positively correlated with grain weight per plant. By adopting the NsiI/BfaI combination to enhance the genotyping-by-sequencing technique, we were able to generate 59,248 filtered single nucleotide polymorphism markers by mapping to the reference genome. Molecular markers showed an average heterozygosity of 11.76% across the accessions with a range of 4.9%–21.9%. The first two principal component analyses (PCAs) explained nearly 50% of molecular markers. The genetic diversity analysis using PCA revealed the presence of four main groups. Groups A and B consisted of mainly Bolivian and Peruvian accessions with relatively slower maturity and taller plant stature. In contrast, groups C and D were mainly accessions registered from USA and Chile with relatively faster maturity and shorter plant stature. Groups C and D together have shown far more private single nucleotide polymorphisms than accessions in A and B groups, indicating the higher levels of diversity within these groups and more levels of similarities among individuals of A and B groups. Marker-trait association revealed significant markers for grain weight per plant and days to flowering. We only analyzed linkage disequilibrium on the scaffolds that harbor these marker-trait associations. LD expressed in r2 persisted as high as 0.2 in ranges greater than 600 kb for scaffold 1992 but dropped more quickly for scaffold 1843. These phenotypic and genotypic resources will serve as a reference for the cataloging and conservation of germplasm and, for the selection of a core collection for the improvement of quinoa to address food security. © 2023 Purdue University. Crop Science published by Wiley Periodicals LLC on behalf of Crop Science Society of America.","2023","2026-07-10 21:13:03","2026-07-10 21:13:03","","2685-2698","","5","63","","Crop Sci.","","","","","","John Wiley and Sons Inc","","English","","","Scopus","","","","","<p>Export Date: 10 July 2026; Cited By: 5; Correspondence Address: M. Mohammadi; Agronomy Department, Purdue University, West Lafayette, 915 West State St, 47907, United States; email: Mohamm20@Purdue.edu; CODEN: CRPSA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGYGIVNQ","journalArticle","2021","Laosatit, K.; Taytragool, S.; Pimsaythong, K.; Somta, P.; Tanadul, O.-U.-M.","Genetic diversity of quinoa (Chenopodium quinoa Willd.) germplasm as revealed by sequence-related amplified polymorphism markers","Agriculture and Natural Resources","","24681458 (ISSN)","10.34044/j.anres.2021.55.3.03","https://www.scopus.com/pages/publications/85110483163?origin=resultslist","Quinoa (Chenopodium quinoa Willd.) is an excellent example of a functional food being rich in antioxidants and well balanced regarding carbohydrates, lipids and protein, providing an ideal source of essential amino acids for human nutrition. Its nutritional characteristic has been emphasized both in developed and undeveloped regions resulting in many countries growing quinoa as a healthy food. Breeding programs for quinoa in new regions need diverse genetic variety. Therefore, the genetic diversity of 135 quinoa accessions was determined using 21 sequence-related amplified polymorphism (SRAP) markers generated from eight primer pairs. The polymorphic information content (PIC) was in the range 0.10-0.25 with an average of 0.19. Overall genetic diversity was relatively low in the range 0.17-0.40, with a mean of 0.32. Population structure, neighbor-joining tree and principal coordinate analyses revealed that the quinoa accessions were clustered into two groups. One was composed of 85 accessions mainly from the USA and Peru and some accessions from Chile and Bolivia. The other one comprised 50 accessions largely from Bolivia and Chile and some accessions from Peru. The results from this study suggested that the genetic diversity of the quinoa accessions from the USA was relatively low compared with other reports. Therefore, plant breeders need to develop new cultivars by crossing quinoa from different genetic groups or to access additional ex situ germplasm collections. Copyright © 2021. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/), production and hosting by Kasetsart University of Research and Development Institute on behalf of Kasetsart University.","2021","2026-07-10 21:13:03","2026-07-10 21:13:03","","341-348","","3","55","","Agric. Nat. Resour.","","","","","","Kasetsart University","","English","","","Scopus","","","","","<p>Export Date: 10 July 2026; Cited By: 4; Correspondence Address: O.-U.-M. Tanadul; Department of Agronomy, Faculty of Agriculture at Kamphaeng Saen, Kasetsart University, Kamphaeng Saen Campus, Nakhon Pathom, 73140, Thailand; email: agromt@ku.ac.th</p>","","","Chenopodium quinoa; Genetic structure; Pseudocereal; Sequence-related amplified polymorphism (SRAP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IA9TBFFZ","journalArticle","1989","Risi, J.C.; Galwey, N.W.","The pattern of genetic diversity in the Andean grain crop quinoa (Chenopodium quinoa Willd). II. Multivariate methods","Euphytica","","15735060 (ISSN)","10.1007/BF00022423","https://www.scopus.com/pages/publications/0038187716?origin=resultslist","Discrete and continuous characteristics related to plant morphology and pigmentation and to the duration of developmental phases were measured or noted in a diverse collection of quinoa germplasm. In a principal component analysis of the continuous characteristics, the first principal component was found to distinguish those accessions which germinate rapidly to produce small plants with small inflorescences, and the second component those which produced a large inflorescence relatively quickly, but there was no clear cut-off between important and unimportant variables or components. A canonical variate analysis of the continuous characteristics provided criteria for distinguishing ecotypes of quinoa, but suggested that these were artificial with the exception of a subtropical type from the Yungas region of Bolivia. A hierarchical cluster analysis of all the characteristics confirmed that the variety Amarilla de Maranganí was unusual, but otherwise did not produce clear clusters. Accessions from near sea level in Chile formed a particularly homogeneous group. The impossibility of describing the variation in terms of a few axes or clusters means that a vast range of combinations of characteristics is available to breeders. © 1989 Kluwer Academic Publishers.","1989","2026-07-10 21:13:03","2026-07-10 21:13:03","","135-145","","1-2","41","","Euphytica","","","","","","Kluwer Academic Publishers","","English","","","Scopus","","","","","<p>Export Date: 10 July 2026; Cited By: 23; CODEN: EUPHA</p>","","","Andean crops; canonical variate analysis; Chenopodium quinoa; cluster analysis; multivariate methods; principal component analysis; principal coordinate analysis; quinoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QPWR2676","journalArticle","2024","Tang, Y.-M.; Liu, Y.-Z.; Zhang, Y.-H.; Cao, Y.-N.; Song, P.-P.; Hou, L.-M.; Peng, L.-X.","A comparative analysis of the nutrient and phytochemical richness among different varieties of quinoa in China","Food Science and Nutrition","","20487177 (ISSN)","10.1002/fsn3.4113","https://www.scopus.com/pages/publications/85191065521?origin=resultslist","Quinoa is a nutrient-dense pseudocereal that has garnered global attention for its potential to bolster food security and nutrition. Despite its celebrated status, the detailed nutritional profiles of various quinoa varieties remain poorly understood, which poses a significant barrier to the strategic cultivation and utilization of quinoa's genetic diversity to combat malnutrition. The impetus for this research lies in the urgent need to identify superior quinoa strains that can be tailored to meet specific nutritional requirements and adapt to diverse agro-ecological zones. Our findings reveal substantial variation in nutrient content across different quinoa varieties, highlighting the variety ZLZX-8 as a particularly nutrient-rich strain with the highest levels of protein, fat, essential fatty acids, amino acids, and key minerals such as Mg, K, and Zn. Moreover, ZLZX-8's exceptional antioxidant capacity suggests it may have additional health benefits beyond its macronutrient profile. In contrast, ZLZX-7 stands out for its dietary fiber and phenolic content, which are critical for digestive health and disease prevention, respectively. Meanwhile, ZLZX-5, with its high starch content, could be better suited for energy production in dietary applications. Notably, the study also uncovers a correlation between grain color and nutrient profile, with colored quinoa varieties exhibiting superior fiber, inositol, phenolic content, and antioxidant activity compared to their white counterparts. This work lays the groundwork for an informed selection of quinoa varieties that can enhance dietary quality, support local and global food systems, and contribute to the fight against malnutrition. © 2024 The Authors. Food Science & Nutrition published by Wiley Periodicals LLC.","2024","2026-07-10 21:13:03","2026-07-10 21:13:03","","4473-4485","","6","12","","Food Sci. Nutr.","","","","","","John Wiley and Sons Inc","","English","","","Scopus","","","","","<p>Export Date: 10 July 2026; Cited By: 10; Correspondence Address: L.-X. Peng; Key Laboratory of Coarse Cereal Processing of Ministry of Agriculture and Rural Affairs, Chengdu University, Chengdu, China; email: penglianxin@cdu.edu.cn; L.-M. Hou; Affiliated Hospital of Chengdu University of Chinese Medicine, Chengdu, Sichuan, China; email: 37761617@qq.com</p>","","","bioactive compounds; germplasm diversity; nutritional composition; quality evaluation; quinoa (Chenopodium quinoa)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EB8GF6E","journalArticle","2025","De la Cruz, G.; Saldaña, C.L.; Menéndez, F.; Neyra, E.; Arbizu, C.I.","Microsatellite Markers Determine the Genetic Structure and Diversity of Landraces of Quinoa from Ayacucho, Peru","Agronomy","","20734395 (ISSN)","10.3390/agronomy15030611","https://www.scopus.com/pages/publications/105001172223?origin=resultslist","Quinoa (Chenopodium quinoa, Amaranthaceae) is a pseudocereal native to the Andes of South America that contains high protein content and adequate nutrient levels. Peru possesses an abundant morphological diversity of quinoas and is among the top producers and exporters worldwide of this precious crop. However, knowledge about the genetic and population components of quinoa from the Peruvian Andes is still limited. Here, we used 13 microsatellite markers to determine the genetic diversity and population structure of 105 landraces of quinoa cultivated in 11 provinces of Ayacucho, the southern Peruvian Andes. A total of 285 bands were manually scored, generating a 105 × 285 presence/absence data set. Principal coordinate analysis, similar to a dendrogram using the UPGMA clustering algorithm, showed that quinoa from Ayacucho is grouped into three clusters without a clear geographic component. Estimation of the genetic diversity indices was conducted considering the three populations (C1: south 1, C2: south 2, C3: north) determined by STRUCTURE analysis, showing mean expected heterozygosity was 0.08, which may be attributed to high rates of inbreeding and genetic drift, as Ayacucho suffered decades of sociopolitical violence, promoting the migration of farmers. The highest population divergence (FST) was exhibited for C2 and C3 (0.03), whereas the lowest was for C1 and C3 (0.02). Analysis of molecular variance revealed the greatest variation within populations (80.07%) and indicated that variability between populations is 19.93%. Microsatellite markers were effective; however, more studies of the genetic components of quinoa from other Peruvian Andean localities are still needed. We expect that this work will help pave the way towards the development of modern breeding programs of quinoa in Peru, with accurate strategies for the conservation of this nutritious crop. © 2025 by the authors.","2025","2026-07-10 21:13:03","2026-07-10 21:13:03","","","","3","15","","Agronomy","","","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","English","","","Scopus","","","","","<p>Export Date: 10 July 2026; Cited By: 0; Correspondence Address: C.I. Arbizu; Facultad de Ingeniería y Ciencias Agrarias, Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas (UNTRM), Amazonas, Cl. Higos Urco 342, 01001, Peru; email: carlos.arbizu@untrm.edu.pe</p>","","","Andean crop; Andes; Ayacucho; conservation status; genetic marker; genetic structure; germplasm; heterozygosity; inbreeding; molecular markers; Peru; population structure; protein; reproductive behavior; SSR; tuber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAYG6C6H","journalArticle","2015","Vidueiros, S.M.; Curti, R.N.; Dyner, L.M.; Binaghi, M.J.; Peterson, G.; Bertero, H.D.; Pallaro, A.N.","Diversity and interrelationships in nutritional traits in cultivated quinoa (Chenopodium quinoa Willd.) from Northwest Argentina","Journal of Cereal Science","","07335210 (ISSN)","10.1016/j.jcs.2015.01.001","https://www.scopus.com/pages/publications/84961290371?origin=resultslist","Quinoa (Chenopodium quinoa Willd.) is one of the oldest crops in the American continent. It has been recognized as an extremely nutritious grain all over the world. The importance that quinoa could play in nutrition is being emphasized not only in developing countries but also in the developed world. This is the first study reporting the nutritional characterization of Argentinean quinoa germplasm and describing diversity and interrelationships among nutritional traits, less studied in quinoa, which could provide tools for breeding strategies. Nutritional properties of quinoa accessions collected in different eco-regions from Northwest Argentina but grown on the same environment show a wide range of variation with only subtle differences according to the population's region of origin. However, Argentinean quinoa germplasm did not show clear genetic structure across regions based on nutritional traits as is the case with phenotypic and genotypic traits evaluated on a similar set of accessions. © 2015 Elsevier Ltd.","2015","2026-07-10 21:13:03","2026-07-10 21:13:03","","87-93","","","62","","J. Cereal Sci.","","","","","","Academic Press","","English","","","Scopus","","","","","<p>Export Date: 10 July 2026; Cited By: 57; CODEN: JCSCD</p>","","","Argentinean quinoa germplasm; Breeding strategies; Chenopodium quinoa; Interrelationships; Nutritional properties","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WKZ6H2RW","journalArticle","2021","García-Godos, P.; Cueva-Castillo, J.M.","Genetic variability of 29 Peruvian quinoa (Chenopodium quinoa Willd) accessions using AFLP markers and multivariate analysis","Scientia Agropecuaria","","20779917 (ISSN)","10.17268/SCI.AGROPECU.2021.007","https://www.scopus.com/pages/publications/85104334877?origin=resultslist","Aiming to determine the genetic variability of accessions of Chenopodium quinoa Willd. ""Quinoa"" from the Germplasm Bank of INIA-Ayacucho, analyze 29 accessions, which were characterized using AFLP molecular markers. The quality of the DNA extracted by the Doyle and modified Doyle method was optimal for all samples, obtaining modifications in a range of 100-400 ng / &#956;l. In the standardization of the AFLP technique, it was determined that the proteins between 100 and 200 ng / &#956;l of digested DNA were adequate to efficiently develop the AFLP technique, and it was also determined that the preamplification products that allowed the resolution amplification profiles variables were higher with a 1:4 ratio. A total of 7 primer combinations generated 220 DNA bands, being 201 polymorphic loci. Molecular data grouped the accessions into seven groups at a similarity of 0.81 ultrametric units, of which a group is made up of 23 accessions and the remaining six made up of a single accession. It was found that the mean genetic variance was 0.306 ± 0.011, with a Shannon information index of 0.463 ± 0.015, these results showed that in the 29 quinoa accessions it presents a high degree of genetic variability and there is no duplicate accession. The study determines the genetic relationship and is essential to raise the genetic improvement and conservation of quinoa. © 2021 Universidad Nacional de Trujillo. All right reserved.","2021","2026-07-10 21:13:03","2026-07-10 21:13:03","","57-64","","1","12","","Scientia Agropecu.","","","","","","Universidad Nacional de Trujillo","","English","","","Scopus","","","","","<p>Export Date: 10 July 2026; Cited By: 3; Correspondence Address: P. García-Godos; Laboratorio de Biotecnología Facultad de Ciencias Biológicas, Universidad Nacional San Cristóbal de Huamanga, Huamanga, Ayacucho, Portal Independencia N 57, Peru; email: paula.garciagodos@unsch.edu.pe</p>","","","AFLPs; Chenopodium quinoa Willd; Genetic diversity; Genetic variability.; Genetic variation; Germplasm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4TAJSJL","journalArticle","2004","Danielsen, S.; Munk, L.","Evaluation of disease assessment methods in quinoa for their ability to predict yield loss caused by downy mildew","Crop Protection","","02612194 (ISSN)","10.1016/j.cropro.2003.08.010","https://www.scopus.com/pages/publications/1642446066?origin=resultslist","Seven disease assessment methods to measure severity of downy mildew (Peronospora farinosa f.sp. chenopodii) were tested in eight cultivars of quinoa (Chenopodium quinoa) in two field experiments in Peru, one at low (Lima) and one at high (Huancayo) disease pressure. Two levels of downy mildew were established by means of fungicide treatments. Area under disease progress curve (AUDPC) values were calculated for each method and correlated to the grain yield. In addition to the severity measurements, spectral reflectance was measured throughout the growth season in Huancayo and area under reflectance curve (AURC) values calculated and correlated to yield. The disease level was ten-fold higher in Huancayo compared to Lima. AUDPC based on the Three-leaf method (mean disease severity of three leaves per plant selected randomly from the lower, middle and upper part of the plant), showed the highest negative correlation to yield (r=-0.736) and is regarded as the best method to predict yield loss caused by downy mildew. In addition, this method proved to be the quickest and easiest compared to the other six methods included in the study, which were based on assessments of disease severity of the entire plant or parts of the plant. Yield losses recorded in the tested cultivars ranged from 33% to 99% under the high-disease conditions. The reflectance method was superior to all other methods by showing a higher correlation between AURC and yield (r=0.853), which is explained by its ability to measure pathogen-induced defoliation. Remote sensing is an excellent tool to compare the effect of treatments on disease severity within a cultivar. However, the method does not allow for comparison of disease severity among cultivars as the spectral reflectance is determined by size, shape and colour of the plant. The Three-leaf method provides an easy, cheap and readily applicable tool for researchers and plant breeders to study downy mildew of quinoa, characterise germplasm for resistance and compare results across regions and years. © 2003 Elsevier Ltd. All rights reserved.","2004","2026-07-10 21:13:03","2026-07-10 21:13:03","","219-228","","3","23","","Crop Prot.","","","","","","Elsevier BV","","English","","","Scopus","","","","","<p>Export Date: 10 July 2026; Cited By: 59; Correspondence Address: S. Danielsen; Danish Govt. Inst. Seed Pathol. D., Frederiksberg C, 1871, Thorvaldsensvej 57, Denmark; email: soda@kvl.dk; CODEN: CRPTD</p>","","","assessment method; Chenopodium; Chenopodium quinoa; crop yield; Disease assessment; disease severity; Downy mildew; fungal disease; Peronospora; Peronospora farinosa; Peronospora farinosa f. sp. chenopodii; Peru; Quinoa; Reflectance; South America; spectral reflectance; Yield loss; yield response","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAWRT6QC","journalArticle","1999","Ortiz, R.; Madsen, S.; Ruiz-Tapia, E.N.; Jacobsen, S.-E.; Mujica-Sánchez, A.; Christiansen, J.L.; Stølen, O.","Validating a core collection of Peruvian quinoa germplasm","Genetic Resources and Crop Evolution","","09259864 (ISSN)","10.1023/A:1008636232584","https://www.scopus.com/pages/publications/0033429353?origin=resultslist","A Peruvian quinoa core collection, containing 103 chosen ecotypes or landraces, was defined on a geographically stratified non-overlapping sampling procedure. The objective was to determine whether this protocol was correct. Hence, a phenotypic distance matrix among 76 accessions from this core collection was created by calculating the difference between each pair of accessions for each characteristic. These 76 accessions were chosen because they had complete data for eight morphological descriptors. The diversity index was calculated by averaging all the differences in the phenotypic value for each quantitative descriptor divided by the respective range, and considering a matching coefficient for the qualitative descriptors, i.e., 0 for characteristics that matched, and 1 if they did not. The total sum of squares from the analyses of variance for the phenotypic diversity index, based on morphological descriptors, was partitioned between and within Peruvian Departments. The between Department cluster variance was smaller (0.0022) than the within Department cluster variance (0.0144), because accessions with the same stem colour or similar inflorescence type and colour were grouped together irrespective of their Department. This was further corroborated by the average linkage cluster analysis, which was performed on the phenotypic diversity matrix to study the pattern of variation and the relationship between the quinoa landraces of this core subset according to their geographical origin. Within each sub-cluster (based on above qualitative descriptors) accessions were ranked by their Department of collection, which indicated that the sampling method was appropriate for choosing accessions for the Peruvian quinoa core collection.","1999","2026-07-10 21:13:03","2026-07-10 21:13:03","","285-290","","3","46","","Genet. Resour. Crop. Evol.","","","","","","","","English","","","Scopus","","","","","<p>Export Date: 10 July 2026; Cited By: 15; Correspondence Address: R. Ortiz; Royal Vet. and Agricultural Univ., Department of Agricultural Sciences, DK-1871 Frederiksberg C, Copenhagen, 40 Thorvaldsensvej, Denmark; email: ro@kvl.dk; CODEN: GRCEE</p>","","","analysis of variance; Average linkage cluster analysis; Chenopodium quinoa; cluster analysis; genetic diversity; Geographical variation; germplasm; inflorescence; landrace; Peru; phenotype; plant genetics; plant morphology; quantitative analysis; Salt tolerance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2WUMHSKN","journalArticle","2020","Quan, Y.; Liu, B.; Yuan, F.; Li, X.; Chen, Z.","Karyotype Analysis of C. Quinoa Varieties with Different Seed Color","Acta Agriculturae Boreali-Sinica","","10007091 (ISSN)","10.7668/hbnxb.20191704","https://www.scopus.com/pages/publications/85208482943?origin=resultslist","In order to determine the chromosome number and karyotype characteristics of the main Chenopodi-um varieties in Qinghai Province, three quinoa varieties with different seed colors Qaidam black-1 ( abbreviated as black quinoa) , Qaidam white-1 ( abbreviated as white quinoa) and Qaidam red-1 (abbreviated as red quinoa) were used as materials, and their root tips were sliced by using squashing method. Karyotype analysis was carried out through the steps of ice-water mixture pretreatment, Carnot fixed solution,45% acetic acid hydrolysis ,flame drying and pressing, microscopic examination, DAPI staining,fluorescence microscope photography etc. The results showed that :The chromosome numbers of the three color varieties were all 4n =36 ,and no aneuploid or polyploid phenomenon was found. The karyotype formula and the relative length composition of chromosome of black quinoa were 4n = 36 =32m(4AST) + 4sm,4n =36 =2L + 18M2 + 12M1 + 4S;the karyotype formula and the relative length of chromosome of white quinoa were 4n = 36 = 34 m ( 4 SAT) + 2sm ,4n =36 =2L + 20 M2 + 14 Ml; the karyotype formula and the relative length of chromosome of red quinoa were 4n =36 =34m(4SAT) +2sm,4n =36 =6L + 8M2 + 14M1 +8S. All varieties belong to 2B type and the asymmetry index were 58. 20% ,58. 22% and 58. 72% ,respectively, indicating that these varieties were more evolved. All the three varieties have two pairs of satellite, but there were differences in loction, which may be related to the heterologous origin of quinoa, self-pollination and other factors. This study can provide cytological basis for cross breeding, ploidy breeding, germplasm resource identification and gene mapping of C. quinoa. © 2020 Editorial Department of Acta Agriculurae Boreali-Sinica. All rights reserved.","2020","2026-07-10 21:13:03","2026-07-10 21:13:03","","72-77","","","35","","Acta. Agrícultur. Boreali. Sinica.","&#19981;&#21516;&#31869;&#31890;&#39068;&#33394;&#34268;&#40614;&#21697;&#31181;&#30340;&#26680;&#22411;&#20998;&#26512;","","","","","Editorial Department of Acta Agriculurae Boreali-Sinica","","Chinese","","","Scopus","","","","","<p>Export Date: 10 July 2026; Cited By: 0</p>","","","Chenopodium quinoa Willd.; Chromosome; Karyotypic analysis; Seed color","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
